Fecha,Hora,mH2O
26-12-2023,00:00:00,5.95
26-12-2023,00:15:00,6.2
26-12-2023,00:30:00,6.32
26-12-2023,00:45:00,6.32
26-12-2023,01:00:00,6.32
26-12-2023,01:15:00,6.2
26-12-2023,01:30:00,6.2
26-12-2023,01:45:00,6.44
26-12-2023,02:00:00,6.56
26-12-2023,02:15:00,6.56
26-12-2023,02:30:00,6.81
26-12-2023,02:45:00,6.81
26-12-2023,03:00:00,6.93
26-12-2023,03:15:00,7.05
26-12-2023,03:30:00,7.05
26-12-2023,03:45:00,6.81
26-12-2023,04:00:00,6.93
26-12-2023,04:15:00,6.93
26-12-2023,04:30:00,7.05
26-12-2023,04:45:00,7.05
26-12-2023,05:00:00,7.05
26-12-2023,05:15:00,8.03
26-12-2023,05:30:00,8.03
26-12-2023,05:45:00,8.15
26-12-2023,06:00:00,8.15
26-12-2023,06:15:00,8.15
26-12-2023,06:30:00,8.03
26-12-2023,06:45:00,7.42
26-12-2023,07:00:00,7.17
26-12-2023,07:15:00,6.93
26-12-2023,07:30:00,6.68
26-12-2023,07:45:00,6.44
26-12-2023,08:00:00,6.81
26-12-2023,08:15:00,6.93
26-12-2023,08:30:00,7.29
26-12-2023,08:45:00,7.29
26-12-2023,09:00:00,7.29
26-12-2023,09:15:00,7.29
26-12-2023,09:30:00,7.17
26-12-2023,09:45:00,6.81
26-12-2023,10:00:00,6.68
26-12-2023,10:15:00,6.56
26-12-2023,10:30:00,6.56
26-12-2023,10:45:00,6.32
26-12-2023,11:00:00,6.32
26-12-2023,11:15:00,6.44
26-12-2023,11:30:00,6.44
26-12-2023,11:45:00,6.32
26-12-2023,12:00:00,6.32
