Fecha,Hora,mH2O
26-12-2023,00:00:00,5.58
26-12-2023,00:15:00,5.95
26-12-2023,00:30:00,6.2
26-12-2023,00:45:00,6.93
26-12-2023,01:00:00,7.17
26-12-2023,01:15:00,6.93
26-12-2023,01:30:00,7.54
26-12-2023,01:45:00,7.66
26-12-2023,02:00:00,7.78
26-12-2023,02:15:00,5.58
26-12-2023,02:30:00,5.58
26-12-2023,02:45:00,5.58
26-12-2023,03:00:00,5.83
26-12-2023,03:15:00,8.03
26-12-2023,03:30:00,7.91
26-12-2023,03:45:00,8.27
26-12-2023,04:00:00,8.39
26-12-2023,04:15:00,8.39
26-12-2023,04:30:00,8.27
26-12-2023,04:45:00,8.39
26-12-2023,05:00:00,8.52
26-12-2023,05:15:00,8.64
26-12-2023,05:30:00,8.39
26-12-2023,05:45:00,8.27
26-12-2023,06:00:00,8.39
26-12-2023,06:15:00,5.71
26-12-2023,06:30:00,5.46
26-12-2023,06:45:00,5.34
26-12-2023,07:00:00,5.58
26-12-2023,07:15:00,5.09
26-12-2023,07:30:00,7.42
26-12-2023,07:45:00,7.91
26-12-2023,08:00:00,7.91
26-12-2023,08:15:00,7.66
26-12-2023,08:30:00,7.54
26-12-2023,08:45:00,6.68
26-12-2023,09:00:00,6.32
26-12-2023,09:15:00,6.56
26-12-2023,09:30:00,4.48
26-12-2023,09:45:00,4.36
26-12-2023,10:00:00,4.48
26-12-2023,10:15:00,3.87
26-12-2023,10:30:00,4.12
26-12-2023,10:45:00,3.38
26-12-2023,11:00:00,3.87
26-12-2023,11:15:00,3.87
26-12-2023,11:30:00,3.38
26-12-2023,11:45:00,3.26
26-12-2023,12:00:00,3.26
26-12-2023,12:15:00,3.14
26-12-2023,12:30:00,3.14
26-12-2023,12:45:00,2.9
26-12-2023,13:00:00,3.26
26-12-2023,13:15:00,3.38
26-12-2023,13:30:00,2.9
26-12-2023,13:45:00,3.14
26-12-2023,14:00:00,2.77
26-12-2023,14:15:00,2.9
26-12-2023,14:30:00,3.02
26-12-2023,14:45:00,3.14
26-12-2023,15:00:00,3.38
26-12-2023,15:15:00,3.63
26-12-2023,15:30:00,4.24
26-12-2023,15:45:00,4.36
26-12-2023,16:00:00,4.85
26-12-2023,16:15:00,4.48
26-12-2023,16:30:00,4.61
26-12-2023,16:45:00,4.24
26-12-2023,17:00:00,4.61
26-12-2023,17:15:00,3.38
26-12-2023,17:30:00,3.14
26-12-2023,17:45:00,3.26
26-12-2023,18:00:00,3.38
26-12-2023,18:15:00,3.38
26-12-2023,18:30:00,3.38
26-12-2023,18:45:00,3.26
26-12-2023,19:00:00,3.75
26-12-2023,19:15:00,3.38
26-12-2023,19:30:00,3.38
26-12-2023,19:45:00,3.75
26-12-2023,20:00:00,3.87
26-12-2023,20:15:00,3.75
26-12-2023,20:30:00,3.51
26-12-2023,20:45:00,3.87
26-12-2023,21:00:00,3.75
26-12-2023,21:15:00,3.75
26-12-2023,21:30:00,3.87
26-12-2023,21:45:00,4.24
26-12-2023,22:00:00,4.0
26-12-2023,22:15:00,4.36
26-12-2023,22:30:00,4.97
26-12-2023,22:45:00,4.97
26-12-2023,23:00:00,5.34
26-12-2023,23:15:00,5.58
26-12-2023,23:30:00,5.22
26-12-2023,23:45:00,5.34
27-12-2023,00:00:00,5.58
